22:22:17.202 INFO  by.epam.training.reader.DataReader - Reading file was successful
22:22:17.240 INFO  by.epam.training.reader.DataReader - Reading file was successful
22:22:17.423 INFO  by.epam.training.action.TextFunctionalityTest - Actual sort lexemes in sentences by symbol e appearance was successful
22:22:17.429 INFO  by.epam.training.reader.DataReader - Reading file was successful
22:22:17.440 INFO  by.epam.training.reader.DataReader - Reading file was successful
22:22:17.447 INFO  by.epam.training.action.TextFunctionalityTest - sort paragraphs by sentence quantity was successful
22:22:17.451 INFO  by.epam.training.reader.DataReader - Reading file was successful
22:22:17.473 INFO  by.epam.training.reader.DataReader - Reading file was successful
22:22:17.478 INFO  by.epam.training.action.TextFunctionalityTest - Actual sort lexemes in sentence by length was successful
22:22:17.480 INFO  by.epam.training.reader.DataReader - Reading file was successful
22:22:17.497 INFO  by.epam.training.reader.DataReader - Reading file was successful
22:22:17.532 INFO  by.epam.training.action.TextFunctionalityTest - Actual sort words in sentence by length was successful
